"Cell Type","U:0","U:1","U:2","V","epsilon","k","nut","p"
12,5.0768499,-0.049785499,-9.7652797e-19,1.36463e-09,8.0122299,0.27254599,0.00083438598,18.557501
12,5.08289,-0.0451115,9.7255998e-19,1.37363e-09,7.9841499,0.27183601,0.00083296798,18.5348
12,5.0884199,-0.040844299,-5.0508898e-22,1.38268e-09,7.9600902,0.27122,0.00083169999,18.5131
12,5.0935001,-0.036948301,-9.63659e-19,1.39178e-09,7.9395199,0.270684,0.000830565,18.492399
12,5.0981498,-0.033390701,0,1.40092e-09,7.9219699,0.270219,0.00082954601,18.4725
12,5.1023998,-0.030141599,-9.5504702e-19,1.4101e-09,7.9070201,0.269815,0.00082863,18.4534
12,5.1062799,-0.027173899,-9.5083905e-19,1.41933e-09,7.89434,0.26946399,0.00082780299,18.435101
12,5.1098199,-0.024462599,9.4669001e-19,1.4286e-09,7.8836098,0.26915899,0.00082705601,18.417601
12,5.11304,-0.021985499,0,1.43792e-09,7.8745699,0.26889399,0.00082637701,18.4007
12,5.1159701,-0.019722,2.63035e-22,1.44729e-09,7.8670001,0.268664,0.00082575798,18.384399
12,5.1186299,-0.017654,1.8688901e-18,1.45669e-09,7.8606901,0.268464,0.00082519202,18.3687
12,5.1210399,-0.015764801,0,1.46614e-09,7.8554602,0.26829001,0.000824672,18.3535
12,5.12321,-0.0140394,-9.2671205e-19,1.4756401e-09,7.85116,0.268139,0.00082419103,18.3388
12,5.1251702,-0.0124642,0,1.48518e-09,7.8476601,0.26800701,0.00082374603,18.3246
12,5.1269302,-0.0110268,0,1.49477e-09,7.8448501,0.26789099,0.00082333101,18.310801
12,5.1285,-0.00971587,0,1.5043899e-09,7.8426199,0.26778999,0.00082294398,18.2973
12,5.12991,-0.0085211499,0,1.51407e-09,7.8408699,0.267701,0.00082258001,18.284201
12,5.1311498,-0.00743317,0,1.52378e-09,7.83955,0.26762301,0.00082223798,18.2714
12,5.1322498,-0.00644325,0,1.53354e-09,7.8385801,0.267553,0.000821914,18.2589
12,5.1332202,-0.0055434001,9.0028104e-19,1.54334e-09,7.8379002,0.267492,0.00082160602,18.246599
12,5.1340499,-0.0047262199,0,1.55319e-09,7.8374701,0.26743701,0.000821314,18.2346
12,5.1347799,-0.0039848899,8.9294695e-19,1.56308e-09,7.8372402,0.26738799,0.00082103501,18.2227
12,5.1353898,-0.00331309,-8.8923601e-19,1.5730099e-09,7.8371801,0.26734301,0.00082076702,18.2111
12,5.13591,-0.00270493,8.85681e-19,1.58298e-09,7.8372698,0.26730299,0.00082050997,18.1996
12,5.1363401,-0.00215492,0,1.593e-09,7.8374701,0.26726601,0.00082026201,18.1882
12,5.1366801,-0.0016579099,-8.7846902e-19,1.60306e-09,7.83776,0.267232,0.00082002301,18.177
12,5.13695,-0.00120907,0,1.61316e-09,7.83812,0.26719999,0.00081979099,18.165899
12,5.1371498,-0.00080381299,4.2810099e-23,1.6233e-09,7.8385501,0.267171,0.00081956602,18.1549
12,5.13728,-0.00043774399,0,1.63348e-09,7.8390298,0.26714301,0.00081934599,18.1439
12,5.1373601,-0.000106634,3.5878e-23,1.6437e-09,7.83955,0.26711699,0.00081913098,18.133101
12,5.1373801,0.00019366101,0,1.65397e-09,7.8400998,0.26709199,0.00081891997,18.1222
12,5.1373601,0.000467265,0,1.6642701e-09,7.8406701,0.267068,0.00081871398,18.1115
12,5.13729,0.00071835698,-8.53529e-19,1.67462e-09,7.84127,0.26704499,0.00081851002,18.1007
12,5.1371799,0.00095127203,-8.4999301e-19,1.68501e-09,7.8418798,0.26702201,0.00081830902,18.09
12,5.1370401,0.00117061,0,1.69543e-09,7.8425102,0.26699999,0.00081810902,18.0793
