"Cell Type","U:0","U:1","U:2","V","Volume","epsilon","k","nut","p"
12,10.0496,0.0559802,0,3.65695e-10,3.656953e-10,53.2853,0.386933,0.000252876,-4.7064
12,10.0392,0.0573063,0,3.51085e-10,3.510846e-10,56.3857,0.389821,0.000242552,-4.7016
12,10.0275,0.0600159,0,3.37058e-10,3.370576e-10,59.5798,0.393001,0.000233309,-4.68245
12,10.0146,0.0644168,0,3.23591e-10,3.23591e-10,62.884,0.396479,0.00022498,-4.65053
12,10.0008,0.0723124,0,3.10662e-10,3.106625e-10,66.3202,0.400215,0.000217362,-4.60776
12,9.99928,0.00694996,0,6.6592e-10,6.659196e-10,15.4802,0.374949,0.000817357,-3.80273
12,10.0081,0.0344003,0,6.39314e-10,6.393143e-10,16.7267,0.375805,0.000759902,-3.82216
12,10.027,0.0467132,0,6.13771e-10,6.137716e-10,18.1372,0.376052,0.000701729,-4.06284
12,10.0414,0.0511499,0,5.89249e-10,5.892488e-10,19.5153,0.37544,0.000650052,-4.2094
12,10.0517,0.054138,0,5.65707e-10,5.657064e-10,20.8129,0.374208,0.000605531,-4.28054
12,10.0613,0.0557602,0,5.43105e-10,5.43105e-10,22.0324,0.372659,0.000567289,-4.36114
12,10.0697,0.0561891,0,5.21406e-10,5.214061e-10,23.1931,0.371029,0.000534195,-4.44546
12,10.0761,0.0561309,0,5.00574e-10,5.005738e-10,24.3184,0.369474,0.000505214,-4.51428
12,10.0805,0.0559457,0,4.80574e-10,4.805746e-10,25.4287,0.368088,0.000479537,-4.56891
12,10.0834,0.0557544,0,4.61374e-10,4.613739e-10,26.5389,0.366918,0.000456561,-4.61485
12,10.085,0.0556664,0,4.4294e-10,4.429404e-10,27.6587,0.365983,0.000435844,-4.65317
12,10.0855,0.0558242,0,4.25243e-10,4.252436e-10,28.7941,0.36528,0.000417053,-4.68298
12,10.0847,0.0563881,0,4.08254e-10,4.082538e-10,29.9484,0.364801,0.000399927,-4.70363
12,10.0829,0.057565,0,3.91943e-10,3.919425e-10,31.1238,0.36453,0.000384254,-4.71454
12,10.08,0.0596078,0,3.76283e-10,3.762832e-10,32.3228,0.364457,0.000369852,-4.7151
12,10.076,0.0629798,0,3.61249e-10,3.612494e-10,33.5507,0.364575,0.000356545,-4.70457
12,10.0713,0.0680292,0,3.46816e-10,3.468163e-10,34.8153,0.364885,0.000344178,-4.68466
12,10.0661,0.0755742,0,3.3296e-10,3.329599e-10,36.1165,0.365375,0.000332671,-4.65818
12,10.0002,0.0092511,0,7.13715e-10,7.137148e-10,14.9064,0.37348,0.000842181,-3.8664
12,10.0078,0.0324564,0,6.852e-10,6.852e-10,15.2321,0.372523,0.000819955,-3.90857
12,10.0224,0.0421509,0,6.57824e-10,6.57824e-10,15.7305,0.371691,0.000790433,-4.08512
12,10.0347,0.0458564,0,6.31541e-10,6.315411e-10,16.308,0.370694,0.000758355,-4.21373
12,10.0443,0.0494143,0,6.06309e-10,6.063089e-10,16.9109,0.369474,0.00072651,-4.2884
12,10.0535,0.0520447,0,5.82085e-10,5.820855e-10,17.5119,0.368078,0.000696286,-4.36721
12,10.0621,0.0532742,0,5.58829e-10,5.588291e-10,18.0993,0.366579,0.000668215,-4.44848
12,10.0693,0.0537622,0,5.36502e-10,5.365017e-10,18.6705,0.365045,0.000642359,-4.51644
12,10.0751,0.0540173,0,5.15067e-10,5.15067e-10,19.2276,0.363529,0.00061858,-4.57124
12,10.0799,0.0542358,0,4.94488e-10,4.944882e-10,19.7737,0.362071,0.000596682,-4.61763
12,10.0837,0.054549,0,4.74732e-10,4.747316e-10,20.3121,0.360696,0.000576463,-4.6569
12,10.0866,0.0551116,0,4.55765e-10,4.557648e-10,20.8457,0.359418,0.000557734,-4.68846
12,10.0887,0.0560967,0,4.37555e-10,4.375555e-10,21.3768,0.358245,0.000540331,-4.71184
12,10.0898,0.0577138,0,4.20074e-10,4.200735e-10,21.9078,0.357179,0.000524102,-4.72685
12,10.0902,0.0602161,0,4.0329e-10,4.032902e-10,22.441,0.356222,0.000508911,-4.73344
12,10.0899,0.063972,0,3.87177e-10,3.871775e-10,22.9795,0.355375,0.000494625,-4.73182
12,10.0891,0.0693054,0,3.71708e-10,3.717084e-10,23.527,0.354642,0.000481124,-4.72383
12,10.0881,0.0767148,0,3.56857e-10,3.568575e-10,24.0801,0.354026,0.000468439,-4.71278
12,10.0003,0.00889147,0,7.64941e-10,7.649405e-10,14.7446,0.37301,0.000849281,-3.92637
