# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.0535768     	-4.929072e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0537909     	-4.763657e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.054005      	-4.644245e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0542191     	-4.464240e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0544332     	-4.333805e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0546473     	-4.148073e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0548614     	-3.995485e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0550755     	-3.805707e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0552897     	-3.624158e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0555038     	-3.425210e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0557179     	-3.240712e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.055932      	-3.044279e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0561461     	-2.858730e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0563602     	-2.669906e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0565743     	-2.477268e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0567884     	-2.312751e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0570025     	-2.101019e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0572166     	-1.944921e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0574307     	-1.737944e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0576448     	-1.569740e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0578589     	-1.391716e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.058073      	-1.256789e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0582871     	-1.089350e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0585013     	-9.738661e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0587154     	-7.843740e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0589295     	-7.051258e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0591436     	-5.638061e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0593577     	-5.013689e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0595718     	-3.887297e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0597859     	-3.674572e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06          	-3.031666e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0602174     	-3.170572e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0604348     	-2.666360e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0606522     	-3.160231e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0608696     	-3.167477e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
